iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
4662,8000,45423,1.7373,-0.0368,3.4811,4.674,0.012,0.08,2.6,0.94,0.0,1028.0,544,479,5,53,47,0,255.0,0.01,4.6e-05,31855.0,,,,
4663,8000,45440,1.7496,-0.0195,3.4713,4.712,0.0095,0.08,3.34,0.94,0.0,1004.0,466,535,3,46,53,0,261.0,0.04,4.6e-05,31916.0,,,,
4664,8000,45456,1.7475,-0.0016,3.4314,4.699,0.011,0.08,3.12,0.94,0.0,934.0,488,442,4,52,47,0,281.0,0.05,4.6e-05,31844.0,,,,
4665,8000,45473,1.767,0.003,3.4615,4.699,0.0113,0.09,2.48,0.94,0.0,937.0,493,437,7,53,47,1,280.0,0.03,4.6e-05,31866.0,,,,
4666,8000,45489,1.7581,-0.0077,3.465,4.723,0.0088,0.08,3.02,0.94,0.0,844.0,426,412,6,50,49,1,311.0,0.04,4.6e-05,31856.0,,,,
4667,8000,45506,1.7132,-0.0073,3.3759,4.816,0.0107,0.08,3.23,0.95,0.0,819.0,437,367,15,53,45,2,320.0,0.03,4.6e-05,31849.0,,,,
4668,8000,45522,1.7155,-0.0082,3.3815,4.75,0.0101,0.08,3.08,0.95,0.0,828.0,437,374,17,53,45,2,317.0,0.03,4.6e-05,31916.0,,,,
4669,8000,45539,1.7164,-0.0164,3.3997,4.751,0.0101,0.08,3.1,0.95,0.0,886.0,453,417,16,51,47,2,296.0,0.02,4.6e-05,31855.0,,,,
4670,8000,45555,1.737,-0.0085,3.4257,4.802,0.0097,0.08,3.06,0.95,0.0,931.0,477,435,19,51,47,2,282.0,0.02,4.6e-05,31849.0,,,,
4671,8000,45572,1.7568,-0.0013,3.4507,4.721,0.0106,0.08,3.06,0.95,0.0,947.0,455,479,13,48,51,1,277.0,0.01,4.6e-05,31857.0,,,,
4672,8000,45588,1.7789,0.0073,3.4775,4.738,0.01,0.08,4.04,0.95,0.0,948.0,503,434,11,53,46,1,277.0,0.03,4.6e-05,31917.0,,,,
4673,8000,45605,1.787,-0.0012,3.5106,4.735,0.0087,0.07,3.36,0.94,0.0,998.0,503,487,8,50,49,1,263.0,0.03,4.6e-05,31854.0,,,,
4674,8000,45621,1.781,0.0009,3.4937,4.701,0.0106,0.08,2.58,0.94,0.0,1012.0,539,469,4,53,46,0,259.0,0.01,4.6e-05,31859.0,,,,
4675,8000,45638,1.7907,0.0093,3.4964,4.695,0.0101,0.08,2.77,0.94,0.0,963.0,525,433,5,55,45,1,272.0,0.01,4.6e-05,31849.0,,,,
4676,8000,45654,1.7807,0.0155,3.4646,4.725,0.0094,0.08,2.87,0.95,0.0,963.0,505,451,7,52,47,1,272.0,0.02,4.6e-05,31920.0,,,,
4677,8000,45671,1.7748,0.0053,3.4727,4.722,0.0101,0.08,3.35,0.95,0.0,1005.0,535,464,6,53,46,1,261.0,0.02,4.6e-05,31857.0,,,,
4678,8000,45688,1.8021,0.0054,3.5263,4.624,0.0106,0.08,3.3,0.94,0.0,1022.0,530,486,6,52,48,1,257.0,0.02,4.6e-05,31854.0,,,,
4679,8000,45704,1.8307,0.0101,3.5732,4.521,0.0108,0.08,3.67,0.94,0.0,1064.0,578,485,1,54,46,0,246.0,0.03,4.6e-05,31921.0,,,,
4680,8000,45721,1.8168,-0.0025,3.5705,4.525,0.0099,0.07,3.52,0.94,0.0,1131.0,613,514,4,54,45,0,232.0,0.03,4.6e-05,31846.0,,,,
4681,8000,45738,1.8856,0.0061,3.6913,4.545,0.0106,0.08,2.78,0.92,0.0,1161.0,579,577,5,50,50,0,226.0,0.04,4.6e-05,30675.0,,,,
4682,8000,45754,1.8428,0.0002,3.6172,4.568,0.0115,0.08,3.06,0.92,0.0,1056.0,519,533,4,49,50,0,248.0,0.07,4.6e-05,31807.0,,,,
4683,8000,45771,1.8191,-0.0222,3.6146,4.609,0.0103,0.08,2.8,0.92,0.0,1082.0,525,550,7,49,51,1,242.0,0.07,4.6e-05,31865.0,,,,
4684,8000,45787,1.8257,-0.0036,3.5916,4.682,0.0104,0.08,2.44,0.91,0.0,1125.0,569,551,5,51,49,0,233.0,0.06,4.6e-05,31800.0,,,,
4685,8000,45804,1.8118,-0.0098,3.5757,4.639,0.0126,0.08,2.73,0.92,0.0,1152.0,538,611,3,47,53,0,228.0,0.05,4.6e-05,31814.0,,,,
4686,8000,45820,1.8072,0.0037,3.5393,4.613,0.0128,0.07,2.87,0.93,0.0,1123.0,525,598,0,47,53,0,233.0,0.05,4.6e-05,31851.0,,,,
4687,8000,45837,1.8086,-0.0033,3.5558,4.574,0.011,0.08,2.63,0.93,0.0,1130.0,509,621,0,45,55,0,232.0,0.05,4.6e-05,31847.0,,,,
4688,8000,45853,1.876,0.002,3.6792,4.478,0.0093,0.07,5.77,0.92,0.0,1164.0,552,611,1,47,52,0,225.0,0.04,4.6e-05,31866.0,,,,
4689,8000,45870,1.8542,0.0186,3.6027,4.51,0.0111,0.08,3.54,0.92,0.0,1274.0,629,642,3,49,50,0,206.0,0.05,4.6e-05,31808.0,,,,
4690,8000,45886,1.8615,0.0084,3.6371,4.439,0.0099,0.08,3.09,0.92,0.0,1255.0,610,644,1,49,51,0,209.0,0.05,4.6e-05,31803.0,,,,
4691,8000,45903,1.801,-0.0044,3.5429,4.593,0.0103,0.07,2.79,0.93,0.0,1241.0,597,644,0,48,52,0,211.0,0.04,4.6e-05,31800.0,,,,
4692,8000,45920,1.7811,-0.0075,3.5089,4.561,0.0124,0.08,2.89,0.93,0.0,1219.0,576,642,1,47,53,0,215.0,0.03,4.6e-05,31807.0,,,,
4693,8000,45936,1.7886,0.0034,3.5024,4.619,0.0091,0.07,3.29,0.93,0.0,1087.0,512,574,1,47,53,0,241.0,0.03,4.6e-05,31813.0,,,,
4694,8000,45953,1.8047,0.0203,3.5006,4.566,0.0112,0.08,3.45,0.93,0.0,1111.0,532,577,2,48,52,0,236.0,0.02,4.6e-05,31813.0,,,,
4695,8000,45969,1.8292,0.0258,3.5376,4.488,0.0112,0.08,2.78,0.93,0.0,1082.0,505,577,0,47,53,0,242.0,0.02,4.6e-05,31882.0,,,,
4696,8000,45986,1.8333,0.0291,3.5394,4.478,0.0117,0.07,3.17,0.93,0.0,1103.0,540,562,1,49,51,0,238.0,0.02,4.6e-05,31821.0,,,,
4697,8000,46002,1.8219,0.0205,3.5335,4.414,0.0106,0.08,3.98,0.93,0.0,1078.0,494,583,1,46,54,0,243.0,0.03,4.6e-05,31796.0,,,,
4698,8000,46019,1.8309,0.0208,3.551,4.453,0.0125,0.09,3.6,0.94,0.0,1150.0,569,580,1,49,50,0,228.0,0.04,4.6e-05,31814.0,,,,
4699,8000,46035,1.8523,0.0308,3.5743,4.49,0.0118,0.08,3.55,0.94,0.0,1140.0,511,626,3,45,55,0,230.0,0.02,4.6e-05,31818.0,148,3,361,29
4700,8000,46067,1.864,0.0275,3.603,4.309,0.0118,0.08,4.3,0.94,0.0,1174.0,562,612,0,48,52,0,223.0,0.02,4.6e-05,32026.0,,,,
4701,8000,46084,1.9047,0.0256,3.6882,4.292,0.0137,0.09,3.38,0.91,0.0,1308.0,653,653,2,50,50,0,200.0,0.03,4.6e-05,30692.0,,,,
4702,8000,46100,1.8845,0.016,3.6674,4.335,0.0131,0.09,3.15,0.92,0.0,1233.0,589,642,2,48,52,0,213.0,0.03,4.6e-05,31820.0,,,,
4703,8000,46117,1.8549,0.0116,3.6166,4.329,0.0176,0.1,2.99,0.92,0.0,1255.0,641,613,1,51,49,0,209.0,0.03,4.6e-05,31831.0,,,,
4704,8000,46133,1.8339,-0.0065,3.6115,4.401,0.0145,0.09,2.68,0.92,0.0,1251.0,645,604,2,52,48,0,210.0,0.03,4.6e-05,31817.0,,,,
4705,8000,46150,1.8674,-0.0003,3.6651,4.278,0.0128,0.09,3.09,0.92,0.0,1253.0,606,647,0,48,52,0,209.0,0.03,4.6e-05,31827.0,,,,
4706,8000,46166,1.8508,0.0134,3.6053,4.367,0.0119,0.08,3.35,0.93,0.0,1245.0,609,634,2,49,51,0,211.0,0.03,4.6e-05,31818.0,,,,
4707,8000,46183,1.8523,0.0008,3.6339,4.401,0.0121,0.08,3.42,0.93,0.0,1184.0,592,590,2,50,50,0,221.0,0.04,4.6e-05,31850.0,,,,
4708,8000,46200,1.8495,0.0011,3.627,4.308,0.0148,0.1,3.23,0.93,0.0,1139.0,589,542,8,52,48,1,230.0,0.04,4.6e-05,31830.0,,,,
4709,8000,46216,1.873,0.0234,3.6288,4.265,0.0132,0.09,3.89,0.93,0.0,1185.0,610,569,6,51,48,1,221.0,0.03,4.6e-05,31896.0,,,,
4710,8000,46233,1.8663,0.0242,3.6137,4.263,0.0123,0.08,3.89,0.94,0.0,1148.0,568,577,3,49,50,0,228.0,0.02,4.6e-05,31826.0,,,,
4711,8000,46249,1.8194,0.0066,3.5557,4.372,0.0113,0.08,4.11,0.94,0.0,1029.0,535,492,2,52,48,0,255.0,0.02,4.6e-05,31809.0,,,,
4712,8000,46266,1.8202,0.0087,3.5532,4.333,0.011,0.08,5.05,0.94,0.0,998.0,505,489,4,51,49,0,263.0,0.02,4.6e-05,31833.0,,,,
4713,8000,46282,1.8034,0.0197,3.4977,4.346,0.012,0.08,5.19,0.94,0.0,966.0,475,485,6,49,50,1,271.0,0.01,4.6e-05,31822.0,,,,
4714,8000,46299,1.7993,0.0317,3.4668,4.473,0.0128,0.08,5.45,0.95,0.0,953.0,500,448,5,52,47,1,275.0,0.02,4.6e-05,31845.0,,,,
4715,8000,46315,1.8036,0.0256,3.489,4.365,0.0119,0.08,4.52,0.95,0.0,915.0,490,408,17,54,45,2,286.0,0.02,4.6e-05,31879.0,,,,
4716,8000,46332,1.7809,0.0301,3.4354,4.469,0.0161,0.08,5.1,0.95,0.0,849.0,457,375,17,54,44,2,309.0,0.01,4.6e-05,31829.0,,,,
4717,8000,46348,1.7413,0.0148,3.3841,4.47,0.0113,0.08,7.22,0.95,0.0,768.0,392,372,4,51,48,1,341.0,0.01,4.5e-05,31813.0,,,,
4718,8000,46365,1.7308,0.0206,3.3521,4.534,0.0104,0.07,5.21,0.96,0.0,756.0,402,352,2,53,47,0,347.0,0.01,4.5e-05,31818.0,,,,
4719,8000,46381,1.7654,0.0212,3.4223,4.473,0.011,0.08,4.37,0.95,0.0,796.0,390,395,11,49,50,1,329.0,0.02,4.5e-05,31854.0,,,,
4720,8000,46398,1.75,-0.0001,3.4326,4.451,0.0108,0.08,6.73,0.95,0.0,843.0,440,395,8,52,47,1,311.0,0.03,4.5e-05,31830.0,,,,
4721,8000,46415,1.8425,0.0161,3.5842,4.363,0.0125,0.09,9.46,0.93,0.0,948.0,478,457,13,50,48,1,277.0,0.03,4.5e-05,30717.0,,,,
4722,8000,46431,1.8909,0.0366,3.6388,4.249,0.012,0.09,3.95,0.92,0.0,1005.0,502,494,9,50,49,1,261.0,0.02,4.5e-05,31904.0,,,,
4723,8000,46448,1.8688,0.0457,3.5772,4.383,0.0131,0.09,3.72,0.93,0.0,962.0,489,468,5,51,49,1,272.0,0.02,4.5e-05,31844.0,,,,
4724,8000,46465,1.8125,0.0296,3.4974,4.475,0.0131,0.09,3.04,0.94,0.0,973.0,509,458,6,52,47,1,269.0,0.02,4.5e-05,31842.0,,,,
4725,8000,46481,1.809,0.0304,3.4893,4.551,0.0111,0.08,4.99,0.93,0.0,847.0,467,378,2,55,45,0,309.0,0.02,4.5e-05,31882.0,,,,
4726,8000,46498,1.8133,0.0296,3.4981,4.393,0.0111,0.09,6.29,0.94,0.0,876.0,445,428,3,51,49,0,299.0,0.02,4.5e-05,31861.0,,,,
4727,8000,46514,1.7932,0.0177,3.4816,4.432,0.0078,0.07,7.08,0.94,0.0,849.0,417,427,5,49,50,1,309.0,0.02,4.5e-05,31908.0,,,,
4728,8000,46531,1.7678,0.0292,3.4098,4.577,0.0119,0.08,4.83,0.93,0.0,803.0,407,381,15,51,47,2,326.0,0.02,4.5e-05,31910.0,,,,
4729,8000,46547,1.7148,0.016,3.3314,4.769,0.0097,0.08,4.77,0.94,0.0,706.0,372,322,12,53,46,2,371.0,0.03,4.5e-05,31856.0,,,,
4730,8000,46564,1.6888,0.018,3.2745,4.745,0.0103,0.08,4.82,0.94,0.0,607.0,307,283,17,51,47,3,432.0,0.02,4.5e-05,31841.0,,,,
4731,8000,46580,1.8283,0.0257,3.5387,4.72,0.0118,0.09,45.86,0.94,0.0,665.0,326,322,17,49,48,3,394.0,0.02,4.5e-05,31847.0,,,,
4732,8000,46597,1.7358,-0.0055,3.414,4.52,0.0081,0.07,8.18,0.93,0.0,739.0,368,355,16,50,48,2,355.0,0.02,4.5e-05,31848.0,,,,
4733,8000,46613,1.7289,0.0021,3.3862,4.582,0.0116,0.09,4.31,0.93,0.0,803.0,390,396,17,49,49,2,326.0,0.02,4.5e-05,31911.0,,,,
4734,8000,46630,1.6971,0.0018,3.3237,4.656,0.0131,0.09,4.8,0.94,0.0,713.0,372,329,12,52,46,2,368.0,0.02,4.5e-05,31905.0,,,,
4735,8000,46646,1.6777,-0.0059,3.2998,4.599,0.0109,0.09,8.39,0.94,0.0,654.0,340,303,11,52,46,2,401.0,0.01,4.5e-05,31844.0,,,,
4736,8000,46663,1.6973,-0.0146,3.3562,4.554,0.0113,0.09,4.22,0.93,0.0,720.0,382,326,12,53,45,2,364.0,0.02,4.5e-05,31841.0,,,,
4737,8000,46679,1.7076,-0.0101,3.3672,4.519,0.0112,0.09,4.04,0.93,0.0,727.0,375,339,13,52,47,2,361.0,0.03,4.5e-05,31846.0,,,,
4738,8000,46696,1.7258,-0.0104,3.4034,4.438,0.0107,0.09,5.34,0.93,0.0,735.0,393,329,13,53,45,2,357.0,0.02,4.5e-05,31840.0,,,,
4739,8000,46712,1.7136,-0.0009,3.3612,4.518,0.0112,0.09,5.01,0.93,0.0,720.0,376,331,13,52,46,2,364.0,0.02,4.5e-05,31904.0,,,,
4740,8000,46729,1.7094,-0.0093,3.3691,4.49,0.01,0.08,14.76,0.93,0.0,651.0,334,304,13,51,47,2,403.0,0.01,4.5e-05,31857.0,,,,
4741,8000,46746,1.8526,0.0087,3.6175,4.275,0.0146,0.1,16.68,0.9,0.0,888.0,480,400,8,54,45,1,295.0,0.03,4.5e-05,30684.0,,,,
4742,8000,46762,1.926,0.0253,3.7306,4.18,0.0064,0.06,15.51,0.91,0.0,1028.0,573,445,10,56,43,1,255.0,0.02,4.5e-05,31807.0,,,,
4743,8000,46779,1.8783,0.0103,3.6651,4.208,0.0097,0.08,6.23,0.92,0.0,1145.0,625,514,6,55,45,1,229.0,0.02,4.5e-05,31794.0,,,,
4744,8000,46795,1.8383,0.0222,3.5629,4.363,0.0126,0.09,4.75,0.92,0.0,1064.0,598,461,5,56,43,0,246.0,0.01,4.5e-05,31837.0,,,,
4745,8000,46812,1.7809,0.0143,3.4647,4.533,0.0125,0.09,4.95,0.93,0.0,945.0,539,404,2,57,43,0,277.0,0.01,4.5e-05,31829.0,,,,
